Removal_Reason,State,ABO,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
Deceased Donor Emergency Tx,Florida,All ABO,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,2,1
Deceased Donor Emergency Tx,Florida,O,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Deceased Donor Emergency Tx,Florida,A,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
Deceased Donor Emergency Tx,Florida,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Georgia,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Deceased Donor Emergency Tx,Georgia,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Deceased Donor Emergency Tx,Hawaii,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Hawaii,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Illinois,All ABO,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,1
Deceased Donor Emergency Tx,Illinois,O,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Deceased Donor Emergency Tx,Illinois,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deceased Donor Emergency Tx,Illinois,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Deceased Donor Emergency Tx,Illinois,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Deceased Donor Emergency Tx,Kansas,All ABO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Deceased Donor Emergency Tx,Kansas,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Kansas,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deceased Donor Emergency Tx,Kentucky,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deceased Donor Emergency Tx,Kentucky,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deceased Donor Emergency Tx,Louisiana,All ABO,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Louisiana,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Louisiana,A,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Maine,All ABO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Deceased Donor Emergency Tx,Maine,A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Deceased Donor Emergency Tx,Maryland,All ABO,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0
Deceased Donor Emergency Tx,Maryland,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Maryland,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Deceased Donor Emergency Tx,Maryland,B,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Massachusetts,All ABO,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,0
Deceased Donor Emergency Tx,Massachusetts,O,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,Massachusetts,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Deceased Donor Emergency Tx,Michigan,All ABO,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,Michigan,O,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,Michigan,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Michigan,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Minnesota,All ABO,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Minnesota,O,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Missouri,All ABO,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,Missouri,O,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,Nevada,All ABO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Nevada,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,New Hampshire,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deceased Donor Emergency Tx,New Hampshire,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deceased Donor Emergency Tx,New Mexico,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Deceased Donor Emergency Tx,New Mexico,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Deceased Donor Emergency Tx,New York,All ABO,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0
Deceased Donor Emergency Tx,New York,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,New York,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,New York,B,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,New York,AB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Deceased Donor Emergency Tx,North Dakota,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,North Dakota,O,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Ohio,All ABO,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
Deceased Donor Emergency Tx,Ohio,O,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Deceased Donor Emergency Tx,Ohio,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Deceased Donor Emergency Tx,Pennsylvania,All ABO,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
Deceased Donor Emergency Tx,Pennsylvania,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Deceased Donor Emergency Tx,Pennsylvania,A,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Pennsylvania,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Deceased Donor Emergency Tx,Puerto Rico,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deceased Donor Emergency Tx,Puerto Rico,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deceased Donor Emergency Tx,South Carolina,All ABO,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
Deceased Donor Emergency Tx,South Carolina,O,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,South Carolina,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,South Carolina,B,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Deceased Donor Emergency Tx,Tennessee,All ABO,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1
Deceased Donor Emergency Tx,Tennessee,O,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Tennessee,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Deceased Donor Emergency Tx,Texas,All ABO,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
Deceased Donor Emergency Tx,Texas,O,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Deceased Donor Emergency Tx,Texas,A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Deceased Donor Emergency Tx,Utah,All ABO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,Utah,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Utah,A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,Vermont,All ABO,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Vermont,A,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Emergency Tx,Washington,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,Washington,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,Wisconsin,All ABO,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,1,0,0,1,0,1
Deceased Donor Emergency Tx,Wisconsin,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deceased Donor Emergency Tx,Wisconsin,A,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1
Deceased Donor Emergency Tx,Wisconsin,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Deceased Donor Emergency Tx,Wisconsin,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,All Center States,All ABO,481,0,0,0,0,0,0,0,1,1,2,3,4,4,6,18,18,28,33,64,41,54,46,28,42,60,30
Deceased Donor Multi-Organ Tx,All Center States,O,211,0,0,0,0,0,0,0,0,0,1,1,3,2,2,9,4,13,13,28,21,25,19,16,20,27,8
Deceased Donor Multi-Organ Tx,All Center States,A,189,0,0,0,0,0,0,0,1,0,1,2,1,1,3,3,9,9,13,19,15,24,20,7,19,24,18
Deceased Donor Multi-Organ Tx,All Center States,B,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,6,13,3,4,6,3,3,7,2
Deceased Donor Multi-Organ Tx,All Center States,AB,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,4,1,4,2,1,1,2,0,2,2
Deceased Donor Multi-Organ Tx,Alabama,All ABO,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,2,2,2,2
Deceased Donor Multi-Organ Tx,Alabama,O,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0
Deceased Donor Multi-Organ Tx,Alabama,A,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,2,1
Deceased Donor Multi-Organ Tx,Alabama,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Deceased Donor Multi-Organ Tx,Alabama,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Arizona,All ABO,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0
Deceased Donor Multi-Organ Tx,Arizona,O,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
Deceased Donor Multi-Organ Tx,Arizona,A,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deceased Donor Multi-Organ Tx,California,All ABO,91,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,3,9,5,4,11,8,8,6,13,10,5
Deceased Donor Multi-Organ Tx,California,O,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,4,2,5,3,4,5,6,1
Deceased Donor Multi-Organ Tx,California,A,42,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,4,2,0,7,2,5,2,8,4,3
Deceased Donor Multi-Organ Tx,California,B,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0
Deceased Donor Multi-Organ Tx,California,AB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
Deceased Donor Multi-Organ Tx,Colorado,All ABO,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,1,4,1,0,2,0,0,0,0
Deceased Donor Multi-Organ Tx,Colorado,O,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0
Deceased Donor Multi-Organ Tx,Colorado,A,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,1,0,0,0,0
Deceased Donor Multi-Organ Tx,Colorado,B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Colorado,AB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Connecticut,All ABO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Deceased Donor Multi-Organ Tx,Connecticut,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Connecticut,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deceased Donor Multi-Organ Tx,Delaware,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Delaware,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,District of Columbia,All ABO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Deceased Donor Multi-Organ Tx,District of Columbia,O,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Deceased Donor Multi-Organ Tx,District of Columbia,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Florida,All ABO,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,2,0,3,3,4
Deceased Donor Multi-Organ Tx,Florida,O,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,1,1
Deceased Donor Multi-Organ Tx,Florida,A,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2
Deceased Donor Multi-Organ Tx,Florida,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Deceased Donor Multi-Organ Tx,Georgia,All ABO,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0
Deceased Donor Multi-Organ Tx,Georgia,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deceased Donor Multi-Organ Tx,Georgia,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deceased Donor Multi-Organ Tx,Georgia,AB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Deceased Donor Multi-Organ Tx,Illinois,All ABO,96,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,4,18,7,15,11,5,7,17,8
Deceased Donor Multi-Organ Tx,Illinois,O,40,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,8,4,5,3,1,4,8,3
Deceased Donor Multi-Organ Tx,Illinois,A,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,1,9,7,3,3,6,4
Deceased Donor Multi-Organ Tx,Illinois,B,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,3,0
Deceased Donor Multi-Organ Tx,Illinois,AB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
Deceased Donor Multi-Organ Tx,Indiana,All ABO,18,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,2,1,3,1,2,3,0
Deceased Donor Multi-Organ Tx,Indiana,O,10,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,1,1,2,1,0
Deceased Donor Multi-Organ Tx,Indiana,A,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0
Deceased Donor Multi-Organ Tx,Indiana,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Deceased Donor Multi-Organ Tx,Iowa,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Iowa,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Kansas,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deceased Donor Multi-Organ Tx,Kansas,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deceased Donor Multi-Organ Tx,Kentucky,All ABO,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0
Deceased Donor Multi-Organ Tx,Kentucky,O,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Deceased Donor Multi-Organ Tx,Kentucky,A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Louisiana,All ABO,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
Deceased Donor Multi-Organ Tx,Louisiana,O,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Deceased Donor Multi-Organ Tx,Louisiana,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Maryland,All ABO,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0
Deceased Donor Multi-Organ Tx,Maryland,O,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Deceased Donor Multi-Organ Tx,Maryland,A,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Maryland,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deceased Donor Multi-Organ Tx,Maryland,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deceased Donor Multi-Organ Tx,Massachusetts,All ABO,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,10,10,13,4,6,4,2,1,7,3
Deceased Donor Multi-Organ Tx,Massachusetts,O,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,7,3,2,4,1,0,1,5,1
Deceased Donor Multi-Organ Tx,Massachusetts,A,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,2,1,3,1,0,1,2
Deceased Donor Multi-Organ Tx,Massachusetts,B,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,4,0,1,0,1,0,0,0
Deceased Donor Multi-Organ Tx,Massachusetts,AB,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0
Deceased Donor Multi-Organ Tx,Michigan,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Michigan,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Minnesota,All ABO,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,2,0,0,1,0,0
Deceased Donor Multi-Organ Tx,Minnesota,O,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Minnesota,A,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
Deceased Donor Multi-Organ Tx,Missouri,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Missouri,A,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Nebraska,All ABO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,Nebraska,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,New Jersey,All ABO,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,2,2,2,2,2,1
Deceased Donor Multi-Organ Tx,New Jersey,O,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0
Deceased Donor Multi-Organ Tx,New Jersey,A,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,2,1
Deceased Donor Multi-Organ Tx,New Jersey,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Deceased Donor Multi-Organ Tx,New Jersey,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deceased Donor Multi-Organ Tx,New York,All ABO,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,3,1,0,0
Deceased Donor Multi-Organ Tx,New York,O,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0
Deceased Donor Multi-Organ Tx,New York,A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Deceased Donor Multi-Organ Tx,New York,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,New York,AB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,North Carolina,All ABO,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,2,0
Deceased Donor Multi-Organ Tx,North Carolina,O,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0
Deceased Donor Multi-Organ Tx,North Carolina,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,North Carolina,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deceased Donor Multi-Organ Tx,Ohio,All ABO,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,3,2,1,0,0
Deceased Donor Multi-Organ Tx,Ohio,O,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,0,0,0
Deceased Donor Multi-Organ Tx,Ohio,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
