,Removal_Reason,State,ABO,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,removal_category
541,Living Donor Transplant,Florida,AB,130,6,11,10,11,11,7,5,8,9,8,9,6,4,5,4,3,1,3,4,1,1,1,1,0,0,1,Received Living Donor Transplant
542,Living Donor Transplant,Georgia,All ABO,"2,943",140,244,209,160,175,189,166,155,139,159,153,120,113,111,93,100,127,71,85,69,64,25,31,20,23,37,Received Living Donor Transplant
543,Living Donor Transplant,Georgia,O,"1,284",59,99,88,65,67,78,65,73,59,67,77,62,51,47,44,46,59,32,39,31,27,14,11,10,9,17,Received Living Donor Transplant
544,Living Donor Transplant,Georgia,A,"1,102",58,86,79,57,75,68,72,61,53,67,46,35,40,46,32,38,48,26,30,19,21,10,13,5,9,17,Received Living Donor Transplant
545,Living Donor Transplant,Georgia,B,430,21,41,34,28,24,32,20,15,20,20,23,17,14,15,15,13,17,11,14,17,10,0,6,5,3,3,Received Living Donor Transplant
546,Living Donor Transplant,Georgia,AB,127,2,18,8,10,9,11,9,6,7,5,7,6,8,3,2,3,3,2,2,2,6,1,1,0,2,0,Received Living Donor Transplant
547,Living Donor Transplant,Hawaii,All ABO,229,4,5,7,4,10,8,10,10,3,7,7,13,15,9,12,33,16,11,18,12,2,2,4,2,4,3,Received Living Donor Transplant
548,Living Donor Transplant,Hawaii,O,79,1,2,1,3,3,3,4,4,0,3,4,3,3,5,4,13,6,3,7,3,1,0,1,0,2,1,Received Living Donor Transplant
549,Living Donor Transplant,Hawaii,A,74,3,2,2,0,2,4,3,4,2,1,2,3,5,3,4,10,4,4,8,4,0,0,0,2,0,2,Received Living Donor Transplant
550,Living Donor Transplant,Hawaii,B,65,0,1,3,1,4,1,3,0,1,3,1,7,6,1,4,8,6,4,3,2,1,2,2,0,2,0,Received Living Donor Transplant
551,Living Donor Transplant,Hawaii,AB,11,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,3,0,0,1,0,0,0,Received Living Donor Transplant
552,Living Donor Transplant,Illinois,All ABO,"5,565",205,304,273,240,256,202,187,221,276,296,306,283,280,239,287,272,234,225,221,177,167,132,157,121,102,90,Received Living Donor Transplant
553,Living Donor Transplant,Illinois,O,"2,508",102,147,124,103,117,85,76,96,113,134,130,107,136,118,124,122,115,104,101,66,72,67,77,62,43,47,Received Living Donor Transplant
554,Living Donor Transplant,Illinois,A,"2,004",69,94,99,87,90,70,68,91,108,108,122,117,97,82,96,103,74,90,78,77,64,41,41,34,40,33,Received Living Donor Transplant
555,Living Donor Transplant,Illinois,B,802,27,48,43,40,31,39,34,26,41,39,44,49,33,32,50,36,33,22,33,26,24,17,28,15,16,9,Received Living Donor Transplant
556,Living Donor Transplant,Illinois,AB,252,7,15,7,10,18,8,9,8,14,15,10,10,14,7,17,11,12,9,9,8,7,7,11,10,3,1,Received Living Donor Transplant
557,Living Donor Transplant,Indiana,All ABO,"1,359",55,83,93,93,94,84,77,84,74,96,98,101,62,51,47,24,30,25,23,18,25,18,3,10,8,3,Received Living Donor Transplant
558,Living Donor Transplant,Indiana,O,605,24,39,42,38,37,32,28,39,31,41,51,45,30,29,20,15,15,12,9,6,12,3,2,5,5,2,Received Living Donor Transplant
559,Living Donor Transplant,Indiana,A,554,25,28,37,40,43,43,32,35,31,46,37,44,20,16,20,6,9,10,9,10,7,12,0,1,2,0,Received Living Donor Transplant
560,Living Donor Transplant,Indiana,B,164,5,15,13,12,11,8,14,6,7,7,8,9,9,4,7,3,6,3,5,2,5,3,1,3,1,1,Received Living Donor Transplant
561,Living Donor Transplant,Indiana,AB,36,1,1,1,3,3,1,3,4,5,2,2,3,3,2,0,0,0,0,0,0,1,0,0,1,0,0,Received Living Donor Transplant
562,Living Donor Transplant,Iowa,All ABO,722,30,39,39,36,39,38,41,42,42,52,53,51,37,28,27,23,24,15,17,9,15,13,8,4,8,3,Received Living Donor Transplant
563,Living Donor Transplant,Iowa,O,326,13,23,18,19,14,17,18,15,18,19,26,28,13,14,11,9,12,6,8,6,8,8,2,1,3,2,Received Living Donor Transplant
564,Living Donor Transplant,Iowa,A,283,11,11,16,15,18,18,18,19,16,24,17,17,13,7,8,9,9,7,9,3,5,4,5,3,3,1,Received Living Donor Transplant
565,Living Donor Transplant,Iowa,B,93,6,4,4,2,6,1,5,7,4,8,7,5,10,6,7,5,3,1,0,0,2,0,1,0,1,0,Received Living Donor Transplant
566,Living Donor Transplant,Iowa,AB,20,0,1,1,0,1,2,0,1,4,1,3,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,Received Living Donor Transplant
567,Living Donor Transplant,Kansas,All ABO,463,26,37,43,26,25,20,22,21,28,18,28,23,22,15,13,14,8,17,19,11,11,6,7,3,3,3,Received Living Donor Transplant
568,Living Donor Transplant,Kansas,O,195,11,11,19,12,10,10,8,10,11,7,14,13,7,6,6,3,5,7,7,4,5,4,4,0,3,2,Received Living Donor Transplant
569,Living Donor Transplant,Kansas,A,213,10,17,19,11,14,8,12,7,17,10,10,8,13,8,7,8,2,7,8,6,4,2,3,3,0,1,Received Living Donor Transplant
570,Living Donor Transplant,Kansas,B,42,3,7,3,3,1,2,1,3,0,1,3,2,2,0,0,2,0,2,4,1,2,0,0,0,0,0,Received Living Donor Transplant
571,Living Donor Transplant,Kansas,AB,13,2,2,2,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,Received Living Donor Transplant
572,Living Donor Transplant,Kentucky,All ABO,669,34,42,53,44,36,37,32,35,25,26,17,29,32,37,14,37,23,22,18,22,23,15,9,7,3,3,Received Living Donor Transplant
573,Living Donor Transplant,Kentucky,O,300,17,18,21,19,11,8,18,15,8,11,10,14,15,14,8,17,13,15,13,12,8,5,5,3,2,2,Received Living Donor Transplant
574,Living Donor Transplant,Kentucky,A,282,13,17,25,21,19,24,9,16,9,12,6,13,16,16,5,15,7,4,4,8,11,6,4,4,0,1,Received Living Donor Transplant
575,Living Donor Transplant,Kentucky,B,65,4,3,7,3,6,3,1,2,6,3,1,2,1,5,1,3,2,2,1,2,3,4,0,0,1,0,Received Living Donor Transplant
576,Living Donor Transplant,Kentucky,AB,22,0,4,0,1,0,2,4,2,2,0,0,0,0,2,0,2,1,1,0,0,1,0,0,0,0,0,Received Living Donor Transplant
577,Living Donor Transplant,Louisiana,All ABO,"1,200",54,102,79,93,77,52,65,55,53,52,58,66,49,58,43,26,50,33,24,38,25,20,9,10,9,9,Received Living Donor Transplant
578,Living Donor Transplant,Louisiana,O,557,27,51,41,35,34,22,26,24,23,21,19,30,23,33,17,15,29,8,16,19,15,10,3,7,7,5,Received Living Donor Transplant
579,Living Donor Transplant,Louisiana,A,424,14,33,29,36,31,21,25,16,24,21,25,27,17,15,20,8,12,18,6,11,7,7,3,1,0,2,Received Living Donor Transplant
580,Living Donor Transplant,Louisiana,B,173,11,14,6,16,7,9,11,13,5,8,11,9,9,7,4,3,5,6,1,6,2,2,2,2,2,2,Received Living Donor Transplant
581,Living Donor Transplant,Louisiana,AB,46,2,4,3,6,5,0,3,2,1,2,3,0,0,3,2,0,4,1,1,2,1,1,1,0,0,0,Received Living Donor Transplant
582,Living Donor Transplant,Maine,All ABO,459,27,21,26,28,22,27,27,19,18,27,20,22,19,15,20,8,7,9,9,27,18,19,10,13,10,6,Received Living Donor Transplant
583,Living Donor Transplant,Maine,O,187,9,7,10,8,11,13,10,5,4,15,8,10,11,8,7,3,5,2,3,15,9,5,4,7,2,2,Received Living Donor Transplant
584,Living Donor Transplant,Maine,A,212,14,10,14,14,10,13,12,11,11,8,7,10,7,4,10,4,2,6,3,11,7,9,6,6,6,4,Received Living Donor Transplant
585,Living Donor Transplant,Maine,B,43,2,2,2,4,1,0,4,2,1,4,3,1,1,2,2,1,0,1,3,1,1,4,0,0,2,0,Received Living Donor Transplant
586,Living Donor Transplant,Maine,AB,17,2,2,0,2,0,1,1,1,2,0,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,Received Living Donor Transplant
587,Living Donor Transplant,Maryland,All ABO,"3,239",71,115,128,119,120,169,160,178,170,132,125,125,108,98,140,122,106,123,120,149,145,166,134,147,91,73,Received Living Donor Transplant
588,Living Donor Transplant,Maryland,O,"1,437",37,50,44,39,52,74,80,78,73,62,53,47,40,42,61,61,51,49,48,78,71,83,55,62,49,36,Received Living Donor Transplant
589,Living Donor Transplant,Maryland,A,"1,202",18,35,53,58,46,65,62,60,71,48,42,57,48,42,56,41,37,48,46,52,45,54,45,61,25,28,Received Living Donor Transplant
590,Living Donor Transplant,Maryland,B,480,15,28,22,18,16,25,14,24,20,14,26,17,16,10,18,18,17,21,22,13,26,24,29,20,11,9,Received Living Donor Transplant
591,Living Donor Transplant,Maryland,AB,121,1,2,9,4,6,5,4,16,6,8,4,4,4,4,5,2,1,5,4,6,3,5,5,4,6,0,Received Living Donor Transplant
592,Living Donor Transplant,Massachusetts,All ABO,"3,208",127,167,197,179,158,188,185,137,143,124,154,147,130,131,134,126,134,98,76,89,71,68,74,68,85,75,Received Living Donor Transplant
593,Living Donor Transplant,Massachusetts,O,"1,446",58,76,88,72,89,81,95,49,71,61,62,73,54,50,65,49,61,47,31,46,34,31,37,28,35,31,Received Living Donor Transplant
594,Living Donor Transplant,Massachusetts,A,"1,212",49,64,72,75,47,80,59,56,54,42,68,48,55,54,49,47,46,30,33,32,26,22,29,27,36,29,Received Living Donor Transplant
595,Living Donor Transplant,Massachusetts,B,427,13,16,29,25,18,19,25,24,12,18,21,21,18,21,16,24,23,15,10,10,8,13,6,10,10,14,Received Living Donor Transplant
596,Living Donor Transplant,Massachusetts,AB,123,7,11,8,7,4,8,6,8,6,3,3,5,3,6,4,6,4,6,2,1,3,2,2,3,4,1,Received Living Donor Transplant
597,Living Donor Transplant,Michigan,All ABO,"4,528",139,182,209,183,212,209,195,214,205,167,185,200,197,189,203,221,201,189,177,150,168,128,130,162,129,98,Received Living Donor Transplant
598,Living Donor Transplant,Michigan,O,"1,902",51,75,94,76,97,81,83,86,82,66,65,80,89,73,82,98,82,76,77,78,76,46,67,68,53,47,Received Living Donor Transplant
599,Living Donor Transplant,Michigan,A,"1,853",59,77,77,80,91,91,80,84,88,64,83,87,80,85,87,91,83,69,76,57,62,59,44,59,55,38,Received Living Donor Transplant
600,Living Donor Transplant,Michigan,B,581,25,23,26,21,20,28,24,35,27,26,28,25,15,19,20,26,26,35,17,11,27,20,15,25,20,9,Received Living Donor Transplant
601,Living Donor Transplant,Michigan,AB,192,4,7,12,6,4,9,8,9,8,11,9,8,13,12,14,6,10,9,7,4,3,3,4,10,1,4,Received Living Donor Transplant
602,Living Donor Transplant,Minnesota,All ABO,"4,872",193,277,288,241,278,260,219,203,224,228,234,215,238,204,221,188,176,179,179,186,151,123,86,77,66,68,Received Living Donor Transplant
603,Living Donor Transplant,Minnesota,O,"2,021",81,115,125,93,109,117,77,85,94,86,89,83,101,82,87,76,82,75,84,83,75,63,31,38,29,25,Received Living Donor Transplant
604,Living Donor Transplant,Minnesota,A,"2,046",78,116,118,111,121,96,107,85,92,93,103,90,96,90,92,81,73,80,69,73,63,41,38,23,29,33,Received Living Donor Transplant
605,Living Donor Transplant,Minnesota,B,622,24,34,32,28,38,33,26,27,29,36,34,34,33,24,34,24,16,19,19,24,11,18,12,13,6,9,Received Living Donor Transplant
606,Living Donor Transplant,Minnesota,AB,183,10,12,13,9,10,14,9,6,9,13,8,8,8,8,8,7,5,5,7,6,2,1,5,3,2,1,Received Living Donor Transplant
607,Living Donor Transplant,Mississippi,All ABO,98,9,9,4,7,8,8,9,4,0,0,5,2,2,3,0,0,0,1,4,2,1,1,6,4,5,4,Received Living Donor Transplant
608,Living Donor Transplant,Mississippi,O,45,4,4,1,2,3,3,5,2,0,0,2,2,2,1,0,0,0,1,2,2,1,0,3,3,2,0,Received Living Donor Transplant
609,Living Donor Transplant,Mississippi,A,31,3,2,1,4,2,5,3,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,2,Received Living Donor Transplant
610,Living Donor Transplant,Mississippi,B,15,1,2,2,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,Received Living Donor Transplant
611,Living Donor Transplant,Mississippi,AB,7,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,Received Living Donor Transplant
612,Living Donor Transplant,Missouri,All ABO,"1,964",89,117,113,109,112,97,93,72,82,84,93,91,85,116,108,87,75,67,47,56,43,43,34,36,20,24,Received Living Donor Transplant
613,Living Donor Transplant,Missouri,O,860,32,55,47,51,55,42,38,29,36,39,41,41,40,66,41,39,31,23,18,24,22,17,15,15,4,9,Received Living Donor Transplant
614,Living Donor Transplant,Missouri,A,815,42,46,54,45,40,37,39,36,36,36,38,37,27,38,43,32,33,34,21,24,15,21,14,18,10,12,Received Living Donor Transplant
615,Living Donor Transplant,Missouri,B,223,13,13,8,7,14,14,12,6,6,8,6,11,16,7,23,13,9,8,6,7,4,5,4,2,5,2,Received Living Donor Transplant
616,Living Donor Transplant,Missouri,AB,66,2,3,4,6,3,4,4,1,4,1,8,2,2,5,1,3,2,2,2,1,2,0,1,1,1,1,Received Living Donor Transplant
617,Living Donor Transplant,Nebraska,All ABO,671,16,38,35,52,30,35,30,20,28,31,50,41,26,36,40,32,34,20,19,10,11,17,9,11,10,8,Received Living Donor Transplant
618,Living Donor Transplant,Nebraska,O,301,10,12,11,22,16,17,9,9,12,7,27,17,13,15,23,21,8,12,10,7,4,9,4,9,5,2,Received Living Donor Transplant
619,Living Donor Transplant,Nebraska,A,265,4,16,18,22,8,11,14,10,10,15,12,19,10,17,12,9,21,6,7,1,5,5,5,2,4,5,Received Living Donor Transplant
620,Living Donor Transplant,Nebraska,B,86,1,7,5,8,4,5,4,1,4,8,11,3,2,3,5,2,5,2,2,2,2,2,0,0,1,1,Received Living Donor Transplant
621,Living Donor Transplant,Nebraska,AB,19,1,3,1,0,2,2,3,0,2,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Received Living Donor Transplant
622,Living Donor Transplant,Nevada,All ABO,175,4,3,7,7,6,7,5,1,3,5,3,4,5,10,8,10,12,11,12,10,11,8,5,6,7,5,Received Living Donor Transplant
623,Living Donor Transplant,Nevada,O,93,0,2,5,4,2,2,2,0,1,3,1,2,2,7,4,5,6,7,9,7,7,4,2,5,3,1,Received Living Donor Transplant
624,Living Donor Transplant,Nevada,A,53,2,1,1,2,3,4,2,0,0,2,1,2,0,2,3,2,4,3,2,1,3,4,1,1,3,4,Received Living Donor Transplant
625,Living Donor Transplant,Nevada,B,27,1,0,1,1,1,1,1,1,2,0,1,0,3,1,1,3,1,1,1,2,1,0,2,0,1,0,Received Living Donor Transplant
626,Living Donor Transplant,Nevada,AB,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Received Living Donor Transplant
627,Living Donor Transplant,New Hampshire,All ABO,331,10,13,15,15,26,21,18,19,18,22,22,21,14,16,12,10,16,6,9,6,3,3,3,6,9,2,Received Living Donor Transplant
628,Living Donor Transplant,New Hampshire,O,150,3,6,6,6,10,10,8,7,3,8,11,13,9,8,5,5,7,2,4,4,2,1,3,4,5,2,Received Living Donor Transplant
629,Living Donor Transplant,New Hampshire,A,137,4,5,6,7,13,7,8,8,12,8,10,7,4,7,6,5,7,3,4,2,0,1,0,2,3,0,Received Living Donor Transplant
630,Living Donor Transplant,New Hampshire,B,29,3,2,2,2,1,3,1,1,1,3,1,1,1,1,1,0,2,1,1,0,1,0,0,0,0,0,Received Living Donor Transplant
631,Living Donor Transplant,New Hampshire,AB,15,0,0,1,0,2,1,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Received Living Donor Transplant
632,Living Donor Transplant,New Jersey,All ABO,"3,721",127,211,187,189,187,166,165,168,189,189,196,186,152,178,160,190,167,154,137,140,118,95,54,45,36,25,Received Living Donor Transplant
633,Living Donor Transplant,New Jersey,O,"1,608",47,80,93,79,73,72,77,73,81,72,89,88,67,77,72,88,79,62,59,62,46,37,24,18,17,14,Received Living Donor Transplant
634,Living Donor Transplant,New Jersey,A,"1,326",50,82,46,61,69,63,54,61,70,83,67,64,62,67,50,63,55,56,49,53,38,48,16,14,16,7,Received Living Donor Transplant
635,Living Donor Transplant,New Jersey,B,588,24,36,32,31,30,24,27,28,30,29,33,23,15,26,29,31,28,25,21,19,25,8,9,11,2,3,Received Living Donor Transplant
636,Living Donor Transplant,New Jersey,AB,200,6,13,16,18,15,7,7,6,8,5,7,11,8,8,9,8,5,11,8,6,9,2,5,2,1,1,Received Living Donor Transplant
637,Living Donor Transplant,New Mexico,All ABO,321,11,15,10,13,20,8,16,22,16,16,16,22,17,8,12,5,12,10,15,13,8,9,9,6,6,10,Received Living Donor Transplant
638,Living Donor Transplant,New Mexico,O,172,8,4,4,11,12,2,12,12,7,8,6,15,8,3,8,3,6,4,9,6,6,4,6,2,4,4,Received Living Donor Transplant
639,Living Donor Transplant,New Mexico,A,116,3,7,4,2,7,3,3,10,6,7,8,7,4,4,3,2,5,6,5,5,2,4,3,3,1,4,Received Living Donor Transplant
640,Living Donor Transplant,New Mexico,B,25,0,3,1,0,1,3,1,0,3,1,2,0,4,1,0,0,1,0,0,1,0,1,0,0,1,1,Received Living Donor Transplant
641,Living Donor Transplant,New Mexico,AB,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,Received Living Donor Transplant
642,Living Donor Transplant,New York,All ABO,"9,081",398,639,649,512,494,489,497,441,399,448,412,499,475,443,402,349,231,221,237,223,204,157,164,142,119,114,Received Living Donor Transplant
643,Living Donor Transplant,New York,O,"4,064",163,275,280,218,223,188,207,198,173,208,170,219,225,206,205,160,116,117,118,107,94,76,69,70,49,56,Received Living Donor Transplant
644,Living Donor Transplant,New York,A,"3,190",153,224,236,190,175,186,172,147,142,156,159,171,154,142,130,127,78,70,71,74,83,47,64,51,46,40,Received Living Donor Transplant
645,Living Donor Transplant,New York,B,"1,396",68,107,102,79,73,88,92,72,58,60,67,85,67,70,54,42,28,25,33,36,22,28,26,17,20,16,Received Living Donor Transplant
646,Living Donor Transplant,New York,AB,431,14,33,31,25,23,27,26,24,26,24,16,24,29,25,13,20,9,9,15,6,5,6,5,4,4,2,Received Living Donor Transplant
647,Living Donor Transplant,North Carolina,All ABO,"2,444",121,161,146,137,118,127,148,99,120,115,115,93,89,84,89,107,112,103,79,78,62,52,44,30,33,25,Received Living Donor Transplant
648,Living Donor Transplant,North Carolina,O,"1,117",59,59,66,54,50,53,66,50,49,56,50,48,36,38,45,52,44,47,46,34,31,28,21,14,20,16,Received Living Donor Transplant
649,Living Donor Transplant,North Carolina,A,906,42,75,56,59,45,51,50,36,47,38,39,29,32,35,34,42,49,39,19,29,23,16,15,11,9,7,Received Living Donor Transplant
650,Living Donor Transplant,North Carolina,B,345,16,24,23,19,16,15,24,11,20,19,22,13,18,8,9,9,15,12,11,15,8,7,8,4,3,2,Received Living Donor Transplant
651,Living Donor Transplant,North Carolina,AB,76,4,3,1,5,7,8,8,2,4,2,4,3,3,3,1,4,4,5,3,0,0,1,0,1,1,0,Received Living Donor Transplant
652,Living Donor Transplant,North Dakota,All ABO,208,11,15,20,17,14,14,10,11,9,4,4,3,6,8,2,6,4,9,9,10,3,4,3,3,7,6,Received Living Donor Transplant
653,Living Donor Transplant,North Dakota,O,95,2,8,11,9,7,8,3,1,2,0,2,2,3,3,0,3,2,4,4,7,1,4,2,2,5,3,Received Living Donor Transplant
654,Living Donor Transplant,North Dakota,A,87,8,4,7,6,4,5,5,7,7,3,2,1,3,4,1,3,0,4,5,2,1,0,0,1,2,3,Received Living Donor Transplant
655,Living Donor Transplant,North Dakota,B,18,1,2,0,2,1,1,2,1,0,0,0,0,0,1,1,0,2,1,0,1,1,0,1,0,0,0,Received Living Donor Transplant
656,Living Donor Transplant,North Dakota,AB,8,0,1,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Received Living Donor Transplant
657,Living Donor Transplant,Ohio,All ABO,"4,071",232,322,275,264,258,224,224,216,180,158,160,164,147,137,166,157,137,106,126,135,98,57,44,50,41,58,Received Living Donor Transplant
658,Living Donor Transplant,Ohio,O,"1,703",98,137,120,96,101,78,93,94,79,71,61,73,64,63,58,78,58,48,49,63,50,18,19,20,16,21,Received Living Donor Transplant
659,Living Donor Transplant,Ohio,A,"1,683",101,133,116,130,116,117,101,83,71,60,65,58,63,51,64,60,55,41,50,45,32,27,15,20,15,27,Received Living Donor Transplant
660,Living Donor Transplant,Ohio,B,539,27,45,30,31,31,21,26,31,21,21,31,26,15,19,36,11,16,14,20,18,13,10,7,8,10,8,Received Living Donor Transplant
661,Living Donor Transplant,Ohio,AB,146,6,7,9,7,10,8,4,8,9,6,3,7,5,4,8,8,8,3,7,9,3,2,3,2,0,2,Received Living Donor Transplant
662,Living Donor Transplant,Oklahoma,All ABO,768,25,53,45,43,36,41,37,51,42,45,52,40,26,23,15,23,21,34,35,24,16,12,11,8,6,11,Received Living Donor Transplant
663,Living Donor Transplant,Oklahoma,O,343,14,19,25,25,13,20,12,23,20,20,20,17,10,7,7,13,10,14,14,16,4,5,3,5,6,5,Received Living Donor Transplant
664,Living Donor Transplant,Oklahoma,A,311,9,25,12,10,17,14,16,19,17,22,27,20,9,11,6,7,10,12,19,6,10,4,5,3,0,3,Received Living Donor Transplant
665,Living Donor Transplant,Oklahoma,B,94,2,8,7,6,5,5,9,9,4,3,4,2,6,3,0,3,1,7,0,1,2,3,3,0,0,2,Received Living Donor Transplant
666,Living Donor Transplant,Oklahoma,AB,20,0,1,1,2,1,2,0,0,1,0,1,1,1,2,2,0,0,1,2,1,0,0,0,0,0,1,Received Living Donor Transplant
667,Living Donor Transplant,Oregon,All ABO,832,43,70,68,67,68,60,55,45,54,56,52,39,24,12,18,20,15,23,13,5,14,5,4,6,1,3,Received Living Donor Transplant
668,Living Donor Transplant,Oregon,O,371,18,36,26,36,29,23,18,19,23,26,24,18,13,7,5,8,7,11,8,3,7,2,4,3,0,0,Received Living Donor Transplant
669,Living Donor Transplant,Oregon,A,341,18,27,32,22,26,27,31,20,25,23,22,17,9,4,7,9,4,7,3,2,5,2,0,2,0,1,Received Living Donor Transplant
670,Living Donor Transplant,Oregon,B,90,4,4,8,7,11,6,5,4,4,5,4,2,1,1,6,3,4,5,1,0,1,1,0,1,1,2,Received Living Donor Transplant
671,Living Donor Transplant,Oregon,AB,30,3,3,2,2,2,4,1,2,2,2,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Received Living Donor Transplant
672,Living Donor Transplant,Pennsylvania,All ABO,"6,316",261,368,325,314,269,307,280,326,271,240,276,292,265,250,294,285,325,280,255,218,211,145,135,116,108,82,Received Living Donor Transplant
673,Living Donor Transplant,Pennsylvania,O,"2,599",103,142,142,117,102,127,118,116,102,80,112,127,125,97,127,102,147,128,120,97,97,68,57,46,43,30,Received Living Donor Transplant
674,Living Donor Transplant,Pennsylvania,A,"2,619",112,154,133,142,119,127,111,153,113,117,116,113,99,109,131,124,121,98,101,84,78,60,52,46,50,38,Received Living Donor Transplant
675,Living Donor Transplant,Pennsylvania,B,843,38,50,36,45,37,39,38,46,41,30,38,38,34,36,26,52,44,40,27,26,29,13,20,18,14,9,Received Living Donor Transplant
676,Living Donor Transplant,Pennsylvania,AB,256,8,22,14,10,11,14,13,11,15,13,10,14,7,8,10,7,13,14,7,11,7,4,6,6,1,5,Received Living Donor Transplant
677,Living Donor Transplant,Puerto Rico,All ABO,133,6,9,5,7,9,6,11,7,4,1,10,5,7,5,5,2,3,3,2,7,7,2,5,4,1,0,Received Living Donor Transplant
678,Living Donor Transplant,Puerto Rico,O,69,4,2,5,0,5,3,7,4,3,1,6,1,6,2,2,1,1,1,1,3,3,2,3,2,1,0,Received Living Donor Transplant
679,Living Donor Transplant,Puerto Rico,A,54,2,6,0,6,4,3,4,2,1,0,3,3,1,3,3,0,1,2,1,4,2,0,2,1,0,0,Received Living Donor Transplant
680,Living Donor Transplant,Puerto Rico,B,9,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,Received Living Donor Transplant
681,Living Donor Transplant,Puerto Rico,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Received Living Donor Transplant
682,Living Donor Transplant,Rhode Island,All ABO,429,15,28,21,9,22,6,16,13,25,17,24,14,15,17,16,20,25,25,20,32,20,17,17,5,0,0,Received Living Donor Transplant
683,Living Donor Transplant,Rhode Island,O,194,8,12,5,5,10,3,8,5,8,10,13,8,7,10,5,8,10,11,11,18,9,8,6,3,0,0,Received Living Donor Transplant
684,Living Donor Transplant,Rhode Island,A,163,2,10,11,3,9,3,5,6,14,6,7,5,6,6,8,8,10,11,5,8,8,6,7,2,0,0,Received Living Donor Transplant
685,Living Donor Transplant,Rhode Island,B,54,4,5,4,1,3,0,1,0,2,1,3,1,2,1,2,3,3,2,3,6,3,3,1,0,0,0,Received Living Donor Transplant
686,Living Donor Transplant,Rhode Island,AB,18,1,1,1,0,0,0,2,2,1,0,1,0,0,0,1,1,2,1,1,0,0,0,3,0,0,0,Received Living Donor Transplant
687,Living Donor Transplant,South Carolina,All ABO,579,39,51,42,35,30,30,27,23,23,22,29,18,25,19,22,31,16,15,15,15,15,20,8,5,5,2,Received Living Donor Transplant
688,Living Donor Transplant,South Carolina,O,268,18,21,21,18,10,17,12,11,10,10,12,8,13,9,14,15,8,7,2,7,8,8,3,1,4,2,Received Living Donor Transplant
689,Living Donor Transplant,South Carolina,A,208,14,22,13,14,16,9,12,10,8,7,10,5,6,5,5,11,7,7,12,4,0,8,2,1,1,0,Received Living Donor Transplant
690,Living Donor Transplant,South Carolina,B,82,5,7,7,1,3,3,3,1,2,5,6,5,2,4,3,3,1,1,1,3,7,4,3,3,0,0,Received Living Donor Transplant
691,Living Donor Transplant,South Carolina,AB,21,2,1,1,2,1,1,0,1,3,0,1,0,4,1,0,2,0,0,0,1,0,0,0,0,0,0,Received Living Donor Transplant
692,Living Donor Transplant,South Dakota,All ABO,296,12,28,17,20,13,12,11,7,15,21,13,11,8,12,18,24,20,7,6,7,6,7,1,0,1,0,Received Living Donor Transplant
693,Living Donor Transplant,South Dakota,O,141,5,10,11,9,6,6,7,3,5,9,5,4,5,7,7,11,11,5,3,6,2,4,1,0,0,0,Received Living Donor Transplant
694,Living Donor Transplant,South Dakota,A,117,3,13,4,9,6,4,3,4,8,10,5,4,3,5,8,10,7,1,2,1,3,3,0,0,1,0,Received Living Donor Transplant
695,Living Donor Transplant,South Dakota,B,27,3,4,2,2,1,0,1,0,2,1,2,1,0,0,2,2,1,1,1,0,1,0,0,0,0,0,Received Living Donor Transplant
696,Living Donor Transplant,South Dakota,AB,11,1,1,0,0,0,2,0,0,0,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Received Living Donor Transplant
697,Living Donor Transplant,Tennessee,All ABO,"1,992",89,138,116,123,87,98,91,81,96,100,70,99,82,79,84,96,91,79,73,54,44,36,41,29,21,24,Received Living Donor Transplant
698,Living Donor Transplant,Tennessee,O,903,38,67,53,60,42,41,44,45,42,42,30,46,36,36,33,41,38,36,34,24,21,13,18,13,8,15,Received Living Donor Transplant
699,Living Donor Transplant,Tennessee,A,787,41,54,46,51,38,36,32,23,40,37,34,41,34,29,36,35,37,32,28,24,16,17,11,11,9,7,Received Living Donor Transplant
